iter	Passed	Remaining
0	3	3394
1	7	3583
2	12	4077
3	15	3898
4	19	3906
5	24	4003
6	28	4086
7	32	4000
8	36	4002
9	40	4050
10	45	4079
11	49	4093
12	52	4023
13	58	4114
14	62	4136
15	67	4139
16	71	4130
17	75	4129
18	79	4109
19	83	4093
20	88	4112
21	92	4090
22	96	4099
23	100	4067
24	105	4108
25	110	4128
26	114	4138
27	118	4114
28	123	4123
29	127	4123
30	131	4096
31	134	4076
32	139	4098
33	143	4078
34	147	4055
35	153	4099
36	158	4117
37	161	4093
38	165	4082
39	172	4150
40	177	4145
41	181	4147
42	186	4160
43	191	4162
44	195	4149
45	200	4164
46	205	4175
47	210	4165
48	213	4150
49	219	4174
50	224	4170
51	227	4155
52	232	4157
53	237	4155
54	241	4143
55	244	4123
56	250	4140
57	255	4151
58	259	4137
59	265	4154
60	269	4149
61	273	4139
62	277	4129
63	282	4134
64	288	4144
65	291	4128
66	295	4113
67	300	4114
68	303	4099
69	307	4086
70	313	4097
71	317	4087
72	321	4080
73	326	4079
74	331	4088
75	335	4084
76	339	4074
77	344	4069
78	348	4058
79	351	4043
80	355	4034
81	361	4042
82	365	4033
83	368	4022
84	372	4014
85	378	4018
86	381	4005
87	385	3993
88	389	3985
89	393	3981
90	397	3967
91	400	3949
92	403	3936
93	407	3929
94	411	3916
95	414	3900
96	417	3889
97	421	3875
98	425	3872
99	429	3867
100	433	3858
101	436	3844
102	440	3839
103	444	3826
104	447	3816
105	450	3801
106	453	3787
107	458	3784
108	461	3772
109	465	3762
110	468	3749
111	472	3746
112	476	3740
113	480	3730
114	483	3719
115	486	3709
116	491	3707
117	494	3697
118	497	3685
119	500	3673
120	505	3670
121	508	3659
122	511	3647
123	514	3636
124	517	3624
125	522	3623
126	526	3617
127	529	3607
128	532	3597
129	537	3595
130	540	3585
131	543	3575
132	547	3568
133	550	3560
134	555	3557
135	558	3550
136	562	3540
137	565	3531
138	568	3523
139	572	3514
140	575	3508
141	579	3500
142	582	3493
143	586	3488
144	590	3480
145	593	3472
146	596	3464
147	600	3456
148	604	3453
149	608	3448
150	611	3439
151	615	3432
152	618	3422
153	621	3413
154	625	3408
155	628	3402
156	632	3394
157	635	3388
158	638	3378
159	642	3372
160	645	3365
161	649	3359
162	652	3351
163	655	3342
164	658	3332
165	661	3325
166	664	3316
167	668	3309
168	671	3300
169	674	3291
170	677	3283
171	681	3278
172	684	3272
173	687	3263
174	690	3256
175	693	3249
176	697	3242
177	700	3234
178	703	3226
179	708	3225
180	711	3217
181	714	3211
182	717	3204
183	720	3196
184	723	3188
185	727	3182
186	730	3174
187	733	3167
188	736	3162
189	740	3156
190	743	3149
191	746	3142
192	750	3136
193	753	3129
194	756	3121
195	759	3115
196	762	3110
197	765	3102
198	769	3097
199	772	3089
200	775	3082
201	778	3076
202	781	3068
203	784	3062
204	787	3055
205	791	3049
206	794	3042
207	797	3036
208	800	3031
209	803	3024
210	807	3018
211	810	3011
212	813	3005
213	816	2999
214	819	2992
215	822	2985
216	825	2979
217	829	2975
218	832	2968
219	835	2963
220	839	2959
221	842	2952
222	845	2946
223	848	2940
224	851	2934
225	854	2927
226	857	2920
227	861	2915
228	864	2909
229	867	2903
230	870	2897
231	873	2890
232	876	2886
233	879	2880
234	882	2874
235	885	2867
236	888	2861
237	891	2855
238	895	2850
239	898	2843
240	900	2837
241	903	2830
242	906	2824
243	910	2819
244	913	2814
245	916	2808
246	919	2802
247	922	2797
248	925	2791
249	928	2784
250	931	2778
251	934	2773
252	937	2768
253	940	2762
254	943	2756
255	946	2750
256	949	2744
257	952	2738
258	955	2733
259	958	2726
260	961	2722
261	964	2716
262	967	2711
263	970	2706
264	973	2701
265	976	2695
266	979	2689
267	982	2684
268	985	2678
269	988	2673
270	991	2668
271	994	2663
272	998	2657
273	1000	2652
274	1003	2646
275	1006	2640
276	1010	2637
277	1013	2631
278	1016	2626
279	1019	2621
280	1022	2616
281	1025	2610
282	1029	2608
283	1032	2603
284	1035	2597
285	1038	2593
286	1042	2588
287	1044	2583
288	1047	2577
289	1050	2572
290	1053	2567
291	1056	2562
292	1059	2556
293	1062	2552
294	1066	2547
295	1069	2544
296	1073	2540
297	1077	2537
298	1080	2532
299	1084	2529
300	1087	2525
301	1090	2520
302	1093	2515
303	1096	2510
304	1099	2505
305	1102	2501
306	1105	2496
307	1108	2491
308	1111	2486
309	1115	2481
310	1118	2477
311	1121	2472
312	1124	2468
313	1127	2463
314	1130	2458
315	1134	2455
316	1137	2450
317	1140	2446
318	1144	2442
319	1148	2441
320	1152	2437
321	1155	2433
322	1159	2430
323	1163	2427
324	1166	2423
325	1170	2419
326	1174	2416
