iter	RMSE
0	51849236.8
1	49019499.92
2	46451208.84
3	44101029.72
4	42115870.76
5	40259487.04
6	38595138.46
7	37039501.7
8	35688519.77
9	34374460.59
10	33250080.06
11	32233844
12	31336320.12
13	30475863.51
14	29632003.52
15	28919056.34
16	28172746.57
17	27584772.79
18	26985296.45
19	26453427.48
20	25950872.16
21	25580504.68
22	25207755.67
23	24781191.89
24	24356061.29
25	24039584.59
26	23739190.45
27	23447891.31
28	23198788.48
29	22963309.12
30	22630339.57
31	22472451.45
32	22320165.03
33	22100657.49
34	21945952.54
35	21748768.13
36	21674670.33
37	21475221.89
38	21313094
39	21217331.94
40	20983904.06
41	20852649.02
42	20684333.65
43	20610358.42
44	20541241.09
45	20507171.74
46	20302030.2
47	20176795.74
48	20067187.12
49	20002633.81
50	19863795
51	19784706.45
52	19668784.69
53	19550192.24
54	19456665.5
55	19349875.96
56	19335266.96
57	19270577.99
58	19194171.52
59	19124461.03
60	19012171.42
61	18982740.18
62	18819779.27
63	18766461.38
64	18718665.55
65	18683733.2
66	18644796.04
67	18622319.13
68	18495907.15
69	18445794.36
70	18316920.09
71	18283008.69
72	18271576.87
73	18240431.81
74	18215563.19
75	18094060.12
76	17978173.06
77	17951111.26
78	17871230.63
79	17858260.45
80	17775640.56
81	17746708.48
82	17679545.85
83	17530085.12
84	17374509.44
85	17352053.55
86	17252014.86
87	17137530.17
88	17111612.93
89	17099947.97
90	17081811.43
91	17058626.31
92	16914945.5
93	16810936.49
94	16713095
95	16635072.5
96	16596154.59
97	16551911.74
98	16537667.41
99	16510158.24
100	16475018.32
101	16359705.35
102	16333309.48
103	16244184.51
104	16195474.62
105	16176392.6
106	16161827.16
107	16140335.45
108	16115418.12
109	16089219.32
110	16007095.58
111	15993043.97
112	15963480.5
113	15952460.4
114	15937990.26
115	15850324.48
116	15842004.13
117	15827955.21
118	15746339.59
119	15733913.25
120	15652726.23
121	15593053.22
122	15470453.61
123	15387184.83
124	15358536.29
125	15256902.22
126	15214941.42
127	15129659.04
128	15053278.2
129	14952412.03
130	14905263.19
