iter	Passed	Remaining
0	39	19811
1	67	16878
2	81	13486
3	113	14080
4	139	13849
5	165	13639
6	185	13075
7	210	12967
8	232	12694
9	251	12344
10	265	11810
11	279	11346
12	290	10898
13	303	10552
14	317	10249
15	330	9999
16	343	9749
17	357	9560
18	368	9331
19	379	9097
20	392	8953
21	405	8818
22	423	8775
23	441	8751
24	456	8664
25	469	8567
26	483	8464
27	501	8450
28	509	8272
29	521	8175
30	545	8254
31	559	8178
32	609	8621
33	621	8520
34	635	8441
35	653	8423
36	660	8261
37	671	8164
38	683	8078
39	692	7968
40	704	7886
41	734	8004
42	746	7935
43	755	7833
44	773	7818
45	785	7754
46	812	7834
47	828	7805
48	838	7714
49	846	7621
50	858	7558
51	877	7563
52	895	7548
53	911	7530
54	926	7496
55	938	7441
56	950	7384
57	975	7431
58	998	7462
59	1011	7415
60	1022	7359
61	1030	7279
62	1042	7230
63	1053	7178
64	1066	7140
65	1079	7101
66	1097	7094
67	1109	7048
68	1121	7003
69	1133	6963
70	1148	6938
71	1175	6988
72	1182	6919
73	1198	6900
74	1228	6964
75	1249	6971
76	1261	6929
77	1276	6905
78	1289	6873
79	1300	6828
80	1317	6814
81	1336	6813
82	1351	6792
83	1370	6789
84	1384	6757
85	1399	6734
86	1417	6729
87	1436	6727
88	1449	6694
89	1463	6666
90	1479	6649
91	1499	6652
92	1515	6634
93	1536	6638
94	1556	6636
95	1573	6622
96	1588	6600
97	1600	6565
98	1615	6544
99	1637	6550
100	1659	6557
101	1675	6536
102	1686	6502
103	1700	6475
104	1712	6441
105	1723	6405
106	1738	6384
107	1753	6363
108	1770	6351
109	1784	6325
110	1805	6326
111	1842	6383
112	1860	6370
113	1883	6378
114	1904	6376
115	1957	6481
116	1980	6482
117	1996	6463
118	2014	6448
119	2028	6422
120	2039	6389
121	2055	6370
122	2075	6360
123	2089	6335
124	2100	6302
125	2114	6277
126	2131	6261
127	2144	6233
128	2158	6207
129	2177	6197
130	2193	6178
131	2208	6158
132	2221	6129
133	2232	6097
134	2247	6075
